n        min     max     mean    std
1       2760.0  11328.0 8029.416131     1825.6900113779695
2       1728.0  14516.0 6900.392209000001       1538.339690798332
3       1680.0  41254.0 5576.053102     1332.815001186622
4       1724.0  15064.0 5024.568587     1093.9139221384837
5       1700.0  17504.0 4718.554597     1019.4170962960848
6       1716.0  16244.0 4721.5465890000005      995.9822137279291
7       1712.0  17660.0 4186.698258     835.2567554821893
8       1712.0  16152.0 4294.865297     867.249392323167
9       1720.0  19576.0 4400.140525     889.1742257437368
10      1720.0  18544.0 4426.545797999999       895.1856291587089
